x,y,z,temperature,extrusion
12818.0,0,2840.0,0.0,0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,0.0,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,207.3,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
12818.0,7266.0,2840.0,234.5,-34.0
